					15:00	雕刻之森美術館 🚉 彫刻の森駅 出站       ↓ 🚶 步行約2分鐘       ↓ 🎨 箱根彫刻之森美術館	13:30	箱根神社⛩️、水中鳥居拍照 ⚓ 元箱根港 下船       ↓ 🚶 沿湖邊步道步行（約10-15分鐘）       ↓ ⛩️ 抵達箱根神社	14:00	藏造老街、時之鐘🔔		
					17:00	旅館Check-in、泡溫泉♨️	15:30	巴士返回民宿 🚌 巴士坐到「彫刻の森」站下車       ↓ 🚶 步行回民宿	15:30	菓子屋橫丁 (小孩最愛🍬)		
					晚餐18:30	EMBLEM FLOW DINING（葷素） 	16:30	旅館溫泉、休息	17:00	返回池袋→晴空塔		
						1.Restaurant Omoto 2.Restaurant ROI 3.HAKONE PICNIC Taiwanese Cafe & Delivery	晚餐19:00	WOODY	晚餐19:00	敘敘苑 晴空塔30F		
												
備註	Skyliner來回票 成人¥4,500		動物園嬰兒車租借 ¥500/天		💡 小提示： 上野站很大，認明「JR」標誌，走山手線月台 山手線不用劃位，直接上車 新宿站超複雜，先看好「小田急線」的指標 小田急浪漫特快		注意事項  箱根周遊券超值！ 以上全部交通都包含在內，不用另外付費 建議早點出發（9:00前），避開人潮 空中纜車可能因天氣停駛，出發前可查詢：https://www.hakonenavi.jp/ 大涌谷硫磺味重，有心肺疾病的長輩可考慮跳過，幼童注意 海賊船班次約20-30分鐘一班，不用擔心		川越巴士一日券 ¥500		提前2.5~3小時到機場	
	T's TanTan Ecute Ueno 素食拉麵 上野車站內		VEGAN GYOZA 全素 住宿附近		箱根旅遊					Soratoraya (宙寅屋 東京ソラマチ店) ，位於晴空塔與地鐵站連結的1樓美食街		
	上野Yamashiroya 吉伊卡娃專賣 東京都台東区上野6-14-6				雕刻之森美術館 路線							
素食餐廳	上野: guruatsu (全素) | 箱根: 直吉 (溫泉豆腐) | 川越: 春夏秋冬 (金笛醬油) | 備案: AIN SOPH銀座店、菜道SAIDO											
												
旅客資訊	共8人: 60歲以上長輩2位(1位素食) | 40歲成人4位 | 小孩2位(2歲半、6歲)											
